,centroid_lon,centroid_lat,raster_value,geometry,index_right,ogc_fid,cd_sector,tx_sector_descr_nl,tx_sector_descr_fr,tx_sector_descr_de,cd_sub_munty,tx_sub_munty_nl,tx_sub_munty_fr,tx_munty_dstr,cd_munty_refnis,tx_munty_descr_nl,tx_munty_descr_fr,tx_munty_descr_de,cd_dstr_refnis,tx_adm_dstr_descr_nl,tx_adm_dstr_descr_fr,tx_adm_dstr_descr_de,cd_prov_refnis,tx_prov_descr_nl,tx_prov_descr_fr,tx_prov_descr_de,cd_rgn_refnis,tx_rgn_descr_nl,tx_rgn_descr_fr,tx_rgn_descr_de,cd_country,cd_nuts_lvl1,cd_nuts_lvl2,cd_nuts_lvl3,ms_area_ha,ms_perimeter_m,dt_situation
49,5.5417069877333285,50.6846477638736,33.29606628417969,POINT (5.5417069877333285 50.6846477638736),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
50,5.543503618301566,50.6846477638736,32.811885833740234,POINT (5.543503618301566 50.6846477638736),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
51,5.545300248869805,50.6846477638736,32.54365921020508,POINT (5.545300248869805 50.6846477638736),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
52,5.547096879438044,50.6846477638736,32.58757781982422,POINT (5.547096879438044 50.6846477638736),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
183,5.539910357165088,50.6835094261413,33.82244110107422,POINT (5.539910357165088 50.6835094261413),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
184,5.541706987733328,50.6835094261413,34.283470153808594,POINT (5.541706987733328 50.6835094261413),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
185,5.543503618301566,50.683509426141306,33.0289306640625,POINT (5.543503618301566 50.683509426141306),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
186,5.545300248869805,50.6835094261413,33.21700668334961,POINT (5.545300248869805 50.6835094261413),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
318,5.5399103571650885,50.68237106079298,33.45490264892578,POINT (5.5399103571650885 50.68237106079298),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
319,5.541706987733328,50.68237106079298,34.2801399230957,POINT (5.541706987733328 50.68237106079298),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
320,5.543503618301566,50.682371060792974,33.197696685791016,POINT (5.543503618301566 50.682371060792974),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
321,5.545300248869806,50.68237106079298,33.83384704589844,POINT (5.545300248869806 50.68237106079298),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
453,5.539910357165089,50.68123266782838,33.34210586547852,POINT (5.539910357165089 50.68123266782838),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
454,5.5417069877333285,50.68123266782839,34.45820617675781,POINT (5.5417069877333285 50.68123266782839),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
