,year,Tave MIR,Tave MPI,Tave NOR,Tmax,Tmax.1,Tmax.2,Tmin,Tmin.1,Tmin.2,city
0,1950-01-01,19.6,19.6,19.6,24.6,24.6,24.6,14.7,14.7,14.7,Charleroi
1,1951-01-01,17.8,17.8,17.8,22.5,22.5,22.5,13.4,13.4,13.4,Charleroi
2,1952-01-01,18.8,18.8,18.8,23.7,23.7,23.7,14.0,14.0,14.0,Charleroi
3,1953-01-01,17.4,17.4,17.4,21.9,21.9,21.9,13.4,13.4,13.4,Charleroi
4,1954-01-01,15.9,15.9,15.9,20.2,20.2,20.2,12.2,12.2,12.2,Charleroi
5,1955-01-01,18.1,18.1,18.1,22.6,22.6,22.6,13.9,13.9,13.9,Charleroi
6,1956-01-01,15.7,15.7,15.7,19.9,19.9,19.9,12.0,12.0,12.0,Charleroi
7,1957-01-01,17.9,17.9,17.9,22.4,22.4,22.4,13.7,13.7,13.7,Charleroi
8,1958-01-01,17.1,17.1,17.1,21.5,21.5,21.5,13.2,13.2,13.2,Charleroi
9,1959-01-01,19.0,19.0,19.0,24.3,24.3,24.3,13.8,13.8,13.8,Charleroi
10,1960-01-01,16.7,16.7,16.7,21.1,21.1,21.1,12.8,12.8,12.8,Charleroi
11,1961-01-01,16.9,16.9,16.9,21.3,21.3,21.3,12.6,12.6,12.6,Charleroi
12,1962-01-01,16.2,16.2,16.2,20.8,20.8,20.8,11.8,11.8,11.8,Charleroi
13,1963-01-01,16.7,16.7,16.7,21.0,21.0,21.0,13.0,13.0,13.0,Charleroi
14,1964-01-01,17.9,17.9,17.9,22.6,22.6,22.6,13.3,13.3,13.3,Charleroi
15,1965-01-01,15.8,15.8,15.8,19.8,19.8,19.8,12.3,12.3,12.3,Charleroi
16,1966-01-01,16.5,16.5,16.5,20.7,20.7,20.7,12.8,12.8,12.8,Charleroi
17,1967-01-01,17.9,17.9,17.9,22.3,22.3,22.3,13.7,13.7,13.7,Charleroi
18,1968-01-01,16.3,16.3,16.3,20.3,20.3,20.3,12.9,12.9,12.9,Charleroi
19,1969-01-01,17.5,17.5,17.5,21.6,21.6,21.6,13.8,13.8,13.8,Charleroi
20,1970-01-01,17.5,17.5,17.5,21.6,21.6,21.6,13.6,13.6,13.6,Charleroi
21,1971-01-01,17.3,17.3,17.3,21.5,21.5,21.5,13.4,13.4,13.4,Charleroi
22,1972-01-01,15.5,15.5,15.5,19.2,19.2,19.2,12.4,12.4,12.4,Charleroi
23,1973-01-01,18.3,18.3,18.3,22.9,22.9,22.9,14.1,14.1,14.1,Charleroi
24,1974-01-01,16.5,16.5,16.5,20.9,20.9,20.9,12.6,12.6,12.6,Charleroi
25,1975-01-01,18.2,18.2,18.2,22.7,22.7,22.7,14.0,14.0,14.0,Charleroi
26,1976-01-01,19.7,19.7,19.7,24.8,24.8,24.8,14.5,14.5,14.5,Charleroi
27,1977-01-01,15.8,15.8,15.8,19.3,19.3,19.3,12.5,12.5,12.5,Charleroi
28,1978-01-01,15.2,15.2,15.2,19.0,19.0,19.0,11.8,11.8,11.8,Charleroi
29,1979-01-01,16.1,16.1,16.1,20.4,20.4,20.4,12.4,12.4,12.4,Charleroi
30,1980-01-01,15.5,15.5,15.5,19.3,19.3,19.3,12.3,12.3,12.3,Charleroi
31,1981-01-01,15.9,15.9,15.9,19.6,19.6,19.6,12.8,12.8,12.8,Charleroi
32,1982-01-01,17.7,17.7,17.7,22.0,22.0,22.0,14.2,14.2,14.2,Charleroi
33,1983-01-01,19.3,19.3,19.3,24.2,24.2,24.2,14.9,14.9,14.9,Charleroi
34,1984-01-01,16.5,16.5,16.5,20.8,20.8,20.8,12.6,12.6,12.6,Charleroi
35,1985-01-01,16.5,16.5,16.5,20.8,20.8,20.8,12.6,12.6,12.6,Charleroi
36,1986-01-01,17.1,17.1,17.1,21.4,21.4,21.4,13.2,13.2,13.2,Charleroi
37,1987-01-01,15.8,15.8,15.8,19.3,19.3,19.3,12.6,12.6,12.6,Charleroi
38,1988-01-01,16.1,16.1,16.1,20.1,20.1,20.1,12.7,12.7,12.7,Charleroi
39,1989-01-01,18.1,18.1,18.1,22.7,22.7,22.7,13.7,13.7,13.7,Charleroi
40,1990-01-01,18.0,18.0,18.0,22.7,22.7,22.7,13.3,13.3,13.3,Charleroi
41,1991-01-01,17.4,17.4,17.4,21.8,21.8,21.8,13.5,13.5,13.5,Charleroi
42,1992-01-01,17.9,17.9,17.9,22.1,22.1,22.1,14.1,14.1,14.1,Charleroi
43,1993-01-01,16.9,16.9,16.9,21.4,21.4,21.4,12.9,12.9,12.9,Charleroi
44,1994-01-01,19.1,19.1,19.1,24.0,24.0,24.0,14.5,14.5,14.5,Charleroi
45,1995-01-01,18.7,18.7,18.7,23.3,23.3,23.3,14.4,14.4,14.4,Charleroi
